key,title,description,estimatedCost,acceptanceCriteria,link,draft-mode,priority,key:project
user-story-01,"Implement user authentication feature","Develop a robust user authentication system with secure password storage",2,"User should be able to sign up log in and reset their password successfully","https://example.com/user-authentication",true,Must,project-01
user-story-02,"Implement email notification system","Set up a system to send email notifications for various user actions",33,"User should receive email confirmations for sign up password reset and account changes","https://example.com/email-notifications",true,Must,project-01
user-story-03,"Create user profile pages","Design and implement user profile pages with editable fields",34,"Users should be able to view and edit their profile information","https://example.com/user-profiles",true,Must,project-01
user-story-04,"Develop admin dashboard","Build an admin dashboard for managing users and system settings",35,"Admins should be able to view user data and modify user roles and adjust system configurations","https://example.com/admin-dashboard",true,Must,project-01
user-story-05,"Develop admin menu","Build an admin menu for managing the diferents screens",74,"Admins should be able to navigate between the screen","https://example.com/admin-dashboard",true,Must,project-01
user-story-06,"Implement user authentication feature","Develop a robust user authentication system with secure password storage",2,"User should be able to sign up log in and reset their password successfully","https://example.com/user-authentication",true,Could,project-02
user-story-07,"Implement user profile feature","Develop a robust user authentication system with secure password storage",2,"User should be able to sign up log in and reset their password successfully","https://example.com/user-authentication",true,Must,project-02
user-story-08,"Implement user contracts feature","Develop a robust user authentication system with secure password storage",2,"User should be able to sign up log in and reset their password successfully","https://example.com/user-authentication",false,Should,project-02
user-story-09,"Implement add user feature","Develop a robust user authentication system with secure password storage",2,"User should be able to sign up log in and reset their password successfully","https://example.com/user-authentication",false,Could,project-02
user-story-10,"Implement user's friends feature","Develop a robust user authentication system with secure password storage",2,"User should be able to sign up log in and reset their password successfully","https://example.com/user-authentication",true,Should,project-02
user-story-11,"Implement user authentication feature","Develop a user profile",2,"User should be able to sign up log in and reset their password successfully","https://example.com/user-authentication",false,Must,project-03
user-story-12,"Implement user authentication feature","Develop a robust user's test",2,"User should be able to sign up log in and reset their password successfully","https://example.com/user-authentication",true,Should,project-03
user-story-13,"Implement user authentication feature","Populate the DB",2,"User should be able to sign up log in and reset their password successfully","https://example.com/user-authentication",false,Should,project-03
user-story-14,"Implement user authentication feature","Develop the views in frontend",2,"User should be able to sign up log in and reset their password successfully","https://example.com/user-authentication",true,Must,project-03
user-story-15,"Implement user authentication feature","Develop a payment pasarell",2,"User should be able to sign up log in and reset their password successfully","https://example.com/user-authentication",true,Wont,project-03
user-story-16,"Implement user authentication feature","Develop a user profile",2,"User should be able to view his account profile","https://example.com/user-authentication",false,Must,project-04
user-story-17,"Implement user authentication feature","Develop a user profile",2,"User should be able to download his information","https://example.com/user-authentication",false,Must,project-04
user-story-18,"Implement user authentication feature","Develop a user profile",2,"User should be able to change his name","https://example.com/user-authentication",true,Should,project-04
user-story-19,"Implement user authentication feature","Develop a user profile",2,"User should be able to pay with paypal","https://example.com/user-authentication",true,Should,project-04
user-story-20,"Implement user authentication feature","Develop a user profile",2,"User should be able to meet new friends","https://example.com/user-authentication",true,Should,project-04
user-story-21,"Implement user authentication feature","Develop a user profile",2,"User should be able to view his account profile","https://example.com/user-profile",false,Must,project-08
user-story-22,"Implement user authentication feature","Develop a user profile",2,"User should be able to view his account profile","https://example.com/user-information",true,Must,project-08
user-story-23,"Implement user authentication feature","Develop a user profile",2,"User should be able to view his account profile","https://example.com/user-name",true,Should,project-08
user-story-24,"Implement user authentication feature","Develop a user profile",2,"User should be able to view his account profile","https://example.com/user-paypal",false,Could,project-08
user-story-25,"Implement user authentication feature","Develop a user profile",2,"User should be able to view his account profile","https://example.com/user-friends",false,Wont,project-08
user-story-26,"Implement user authentication feature","Develop a user profile",7,"User should be able to view his account profile","https://example.com/user-profile",true,Wont,project-08
user-story-27,"Implement user authentication feature","Develop a user profile",8,"User should be able to view his account profile","https://example.com/user-information",true,Wont,project-08
user-story-28,"Implement user authentication feature","Develop a user profile",9,"User should be able to view his account profile","https://example.com/user-name",false,Should,project-08
user-story-29,"Implement user authentication feature","Develop a user profile",11,"User should be able to view his account profile","https://example.com/user-paypal",true,Should,project-08
user-story-30,"Implement user authentication feature","Develop a user profile",13,"User should be able to view his account profile","https://example.com/user-friends",true,Should,project-08